filename,ssim,psnr,linf
00000.png,0.8428080746488039,22.84178659393738,172
00001.png,0.9053176675264308,24.14457435788438,133
00002.png,0.9007648011336681,27.46629710158311,163
00003.png,0.7802193769458657,22.341089176589264,148
00004.png,0.8491138813509922,23.346827459414946,155
00005.png,0.8270584145821817,23.846991590646436,192
00006.png,0.7183343678770276,21.315454113401838,195
00007.png,0.8201395394342933,22.44123574771065,205
00008.png,0.8384192868802837,21.596742107614546,205
00009.png,0.8617067125814087,23.539339016669167,148
00010.png,0.8856022526649899,24.530208884589374,129
00011.png,0.839366788245797,23.28970466363743,139
00012.png,0.7691212213893958,20.45853361545617,206
00013.png,0.7267616881277724,20.451073912376316,182
00014.png,0.9136910592284685,24.62818162185275,169
00015.png,0.763401008900661,17.304097754596857,228
00016.png,0.9034936071211112,28.113200536362154,60
00017.png,0.8344779196787653,19.933553069210387,216
00018.png,0.8453738418356357,26.148497239759433,122
00019.png,0.9075773945765947,28.143518947630554,132
00020.png,0.8483195111945735,22.95445978924524,173
00021.png,0.8721097802729437,24.047126153303587,173
00022.png,0.9018001858333106,24.963232375074874,95
00023.png,0.8201006044784663,23.787397518869795,150
00024.png,0.7915326185835069,20.427989513663828,182
00025.png,0.8622484653702744,23.389191680190073,160
00026.png,0.9034289119779318,29.575045097970847,125
00027.png,0.8734401846937826,25.109114525073956,117
00028.png,0.7967391823019844,22.11449883044685,146
00029.png,0.7476059788457435,25.886530502796,164
00030.png,0.7320138960296446,21.39100779189031,223
00031.png,0.8922585849990666,25.674436087431296,129
00032.png,0.7945988473187633,22.68202008441168,153
00033.png,0.7764977182299959,22.984518578270297,194
00034.png,0.8677475869340266,24.93631463849536,152
00035.png,0.8994834397632339,24.314969719593307,200
00036.png,0.872302384408428,24.6312360555252,105
00037.png,0.7223838714523173,23.26597512128252,194
00038.png,0.8436857067277814,22.548036017323703,118
00039.png,0.8594529168043604,23.683018886178463,190
00040.png,0.855169978294831,27.78725780340762,92
00041.png,0.8819672255290539,24.958165253474807,139
00042.png,0.8583407841207246,24.018963505524713,161
00043.png,0.7804509867223146,24.305691004170477,169
00044.png,0.8335470655200631,25.140783788638565,119
00045.png,0.8202629597462742,21.7484106488742,155
00046.png,0.8850301251998336,24.648574937345337,100
00047.png,0.7444915069333572,24.017412975521864,192
00048.png,0.7709695032885743,23.824981829922997,195
00049.png,0.9063525263060218,23.71970984109491,146
